==============================================================================
==============================================================================
Wed. Feb. 10 2016                  LANDSAT 5                       Time: 04:36
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602090003_12564                          Path / Row - 34 / 32
Reference Image: L51AAA1186203060500_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 83.2%
Rank   2 -- 16.8%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0340321328   40.87207   -105.30215    -0.18     -0.07     0.19     1 
0340321330   40.87224   -105.22809    -0.15     -0.12     0.19     1 
0340321333   40.87241   -105.11701     0.14     -0.19     0.24     1 
0340321334   40.87244   -105.07999     0.17     -0.30     0.35     1 
0340321335   40.87246   -105.04296     0.22      0.08     0.23     1 
0340321342   40.87227   -104.78377     0.02      0.04     0.05     1 
0340321346   40.87189   -104.63567    -0.15     -0.04     0.16     1 
0340321384   40.84322   -106.00521     0.47      0.46     0.65     2 
0340321385   40.84354   -105.96820     0.49      0.17     0.51     2 
0340321393   40.84565   -105.67214     0.30     -0.02     0.30     1 
0340321395   40.84605   -105.59812     0.13      0.14     0.19     1 
0340321396   40.84624   -105.56111     0.32      0.01     0.32     1 
0340321397   40.84642   -105.52410    -0.05      0.09     0.10     1 
0340321398   40.84658   -105.48709     0.19      0.39     0.44     1 
0340321399   40.84673   -105.45008     0.21      0.04     0.21     1 
0340321400   40.84687   -105.41307     0.08     -0.14     0.16     1 
0340321401   40.84699   -105.37606     0.26     -0.37     0.45     1 
0340321402   40.84711   -105.33904    -0.06     -0.08     0.10     1 
0340321403   40.84721   -105.30203    -0.15      0.14     0.20     1 
0340321405   40.84738   -105.22801    -0.28     -0.10     0.30     1 
0340321406   40.84745   -105.19100     0.03     -0.21     0.21     1 
0340321407   40.84750   -105.15398     0.03     -0.26     0.26     1 
0340321410   40.84760   -105.04294     0.18      0.11     0.21     1 
0340321411   40.84761   -105.00593     0.18      0.30     0.35     1 
0340321420   40.84714   -104.67282    -0.19      0.25     0.31     1 
0340321421   40.84703   -104.63581    -0.23      0.08     0.24     1 
0340321445   40.81269   -106.52263    -0.24     -0.51     0.57     2 
0340321457   40.81770   -106.07881     0.33      0.42     0.53     2 
0340321458   40.81804   -106.04182     0.42     -0.07     0.43     1 
0340321461   40.81899   -105.93085     0.38      0.50     0.63     2 
0340321468   40.82079   -105.67189     0.01      0.42     0.42     1 
0340321469   40.82100   -105.63490     0.17      0.30     0.35     1 
0340321470   40.82119   -105.59790     0.03      0.18     0.19     1 
0340321471   40.82138   -105.56090     0.00      0.22     0.22     1 
0340321472   40.82155   -105.52391     0.28     -0.16     0.32     1 
0340321473   40.82171   -105.48691     0.42      0.01     0.42     1 
0340321474   40.82186   -105.44991    -0.05      0.17     0.18     1 
0340321475   40.82200   -105.41291     0.02     -0.20     0.20     1 
0340321476   40.82213   -105.37592     0.24     -0.43     0.49     1 
0340321477   40.82224   -105.33892     0.04     -0.06     0.07     1 
0340321482   40.82264   -105.15393     0.07     -0.03     0.07     1 
0340321490   40.82265   -104.85793     0.06      0.07     0.09     1 
0340321513   40.78413   -106.78081     0.27      0.49     0.56     2 
0340321514   40.78470   -106.74385     0.10      0.42     0.43     1 
0340321515   40.78525   -106.70689     0.45      0.31     0.55     2 
0340321521   40.78832   -106.48510    -0.13     -0.46     0.48     1 
0340321522   40.78879   -106.44813    -0.11     -0.59     0.60     2 
0340321523   40.78925   -106.41116    -0.32     -0.15     0.36     1 
0340321525   40.79013   -106.33722    -0.20     -0.19     0.28     1 
0340321532   40.79284   -106.07841     0.30      0.25     0.39     1 
0340321536   40.79413   -105.93050     0.26      0.63     0.68     2 
0340321537   40.79442   -105.89352     0.43      0.28     0.51     2 
0340321538   40.79470   -105.85654     0.18      0.30     0.35     1 
0340321543   40.79592   -105.67164     0.06      0.51     0.51     2 
0340321544   40.79613   -105.63466     0.27      0.15     0.31     1 
0340321545   40.79633   -105.59768     0.02      0.15     0.15     1 
0340321546   40.79652   -105.56069    -0.17      0.11     0.21     1 
0340321547   40.79669   -105.52371     0.11      0.24     0.26     1 
0340321548   40.79685   -105.48673     0.25     -0.06     0.26     1 
0340321549   40.79700   -105.44974    -0.00     -0.07     0.07     1 
0340321550   40.79714   -105.41276    -0.13     -0.22     0.25     1 
0340321551   40.79727   -105.37578    -0.07     -0.22     0.23     1 
0340321552   40.79738   -105.33879     0.13     -0.30     0.32     1 
0340321556   40.79772   -105.19085    -0.10      0.09     0.13     1 
0340321557   40.79778   -105.15387    -0.19      0.09     0.21     1 
0340321567   40.79768   -104.78402    -0.12      0.11     0.16     1 
0340321568   40.79760   -104.74703     0.01      0.10     0.10     1 
0340321588   40.75928   -106.78015     0.20      0.48     0.52     2 
0340321589   40.75985   -106.74320    -0.05      0.48     0.48     1 
0340321590   40.76040   -106.70625     0.08     -0.13     0.16     1 
0340321593   40.76199   -106.59540    -0.36      0.27     0.45     1 
0340321596   40.76346   -106.48455     0.02     -0.21     0.22     1 
0340321597   40.76393   -106.44759    -0.45     -0.49     0.66     2 
0340321600   40.76527   -106.33673    -0.23      0.03     0.23     1 
0340321603   40.76650   -106.22585    -0.09      0.02     0.09     1 
0340321612   40.76956   -105.89319     0.25      0.12     0.27     1 
0340321613   40.76984   -105.85622     0.15      0.27     0.31     1 
0340321619   40.77127   -105.63442     0.13      0.15     0.20     1 
0340321620   40.77147   -105.59745     0.10      0.14     0.18     1 
0340321621   40.77165   -105.56048     0.03      0.06     0.07     1 
0340321622   40.77183   -105.52352     0.14      0.21     0.26     1 
0340321623   40.77199   -105.48655     0.13     -0.00     0.13     1 
0340321624   40.77214   -105.44958    -0.10     -0.10     0.14     1 
0340321625   40.77228   -105.41261    -0.05     -0.19     0.20     1 
0340321626   40.77240   -105.37564    -0.03     -0.13     0.14     1 
0340321628   40.77262   -105.30169     0.07      0.09     0.12     1 
0340321629   40.77271   -105.26472     0.12     -0.16     0.20     1 
0340321630   40.77279   -105.22775     0.15     -0.00     0.15     1 
0340321631   40.77286   -105.19078     0.14     -0.04     0.15     1 
0340321632   40.77291   -105.15381     0.09     -0.15     0.18     1 
0340321644   40.77265   -104.71016     0.09      0.11     0.14     1 
0340321663   40.73443   -106.77948     0.15      0.60     0.62     2 
0340321664   40.73499   -106.74255    -0.07      0.64     0.65     2 
0340321665   40.73555   -106.70562     0.07     -0.39     0.40     1 
0340321668   40.73713   -106.59481    -0.15      0.08     0.17     1 
0340321675   40.74041   -106.33623    -0.30      0.05     0.30     1 
0340321687   40.74470   -105.89286     0.24      0.17     0.29     1 
0340321688   40.74498   -105.85590     0.37      0.49     0.62     2 
0340321695   40.74661   -105.59723     0.16      0.04     0.17     1 
0340321696   40.74679   -105.56028     0.15      0.13     0.20     1 
0340321697   40.74696   -105.52332     0.14      0.26     0.30     1 
0340321698   40.74713   -105.48636     0.12      0.08     0.14     1 
0340321699   40.74728   -105.44941     0.04     -0.10     0.11     1 
0340321700   40.74741   -105.41245     0.06     -0.23     0.23     1 
0340321701   40.74754   -105.37550    -0.12     -0.06     0.14     1 
0340321702   40.74765   -105.33854     0.03     -0.15     0.16     1 
0340321703   40.74776   -105.30158     0.07     -0.10     0.13     1 
0340321704   40.74785   -105.26462     0.08     -0.10     0.13     1 
0340321705   40.74793   -105.22767     0.12     -0.03     0.13     1 
0340321706   40.74799   -105.19071     0.42     -0.07     0.43     1 
