Thu. Mar.  8, 2018             LANDSAT 3                 Time: 17:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L866585            Path/Row: 036 / 032

L0R Reference Image: L31XXX1178183000101_HDF.180672315
Acquisition Date: Jul 02, 1978

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320230_02   40.847264 -105.672870  2728.257       0.000     0.000   -48.609    -0.495
0340320237_02   39.543582 -105.477158  3080.072       0.000     0.000     0.989    -9.248
0340320238_02   40.346387 -105.532575  2442.664       0.000     0.000     3.111    10.150
0340320241_02   39.698161 -105.333355  2346.223       0.000     0.000    -2.821    16.610
0340320243_02   39.704316 -106.252683  3618.345       0.000     0.000   -71.695    20.372
0340320246_02   40.339701 -105.130570  1550.000       0.000     0.000     0.741     6.540
0340320247_02   39.617295 -106.173524  3479.229       0.000     0.000     5.889   -13.819
0340320251_02   39.538832 -105.371343  2784.627       0.000     0.000     8.414     3.326
0340320252_02   40.396245 -105.868440  3128.332       0.000     0.000   -19.015    -2.206
0340320255_02   39.655575 -105.879381  3597.850       0.000     0.000    -0.422     4.823
0340320256_02   39.740795 -105.053104  1619.724       0.000     0.000    15.449    12.912
0340320257_02   39.944158 -105.207774  1727.328       0.000     0.000   -11.936    -5.787
0340320258_02   39.770528 -105.055228  1637.367       0.000     0.000    19.339     5.516
0340320259_02   40.514768 -105.884841  3141.208       0.000     0.000    35.238     7.779
0340320260_02   39.838356 -105.084735  1650.901       0.000     0.000    17.449    -1.136
0340320261_02   40.192876 -105.177164  1546.721       0.000     0.000    21.667    10.824
0340320262_02   39.879478 -105.750321  2854.875       0.000     0.000     7.320    13.130
0340320264_02   39.822053 -105.583540  2947.088       0.000     0.000   -30.005    -9.768
0340320270_02   39.646465 -105.904090  3487.215       0.000     0.000   -15.049    -3.250
0340320275_02   40.616255 -105.042796  1523.319       0.000     0.000    16.676    -0.043
0340320276_02   39.605473 -106.023066  2760.767       0.000     0.000    31.369     2.167
0340320277_02   40.163808 -105.054489  1500.817       0.000     0.000     8.128    44.636
0340320278_02   39.523611 -105.396742  3027.477       0.000     0.000     9.500     5.328
0340320279_02   40.918403 -104.955703  1783.263       0.000     0.000    19.290     4.411
