==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321037   40.76549   -103.94526    -0.14     -0.08     0.16     1 
0360321040   40.76434   -103.82585    -0.18      0.12     0.22     1 
0360321064   40.74065   -105.85585     0.13     -0.09     0.16     1 
0360321068   40.74172   -105.69668     0.00      0.67     0.67     2 
0360321074   40.74292   -105.45791    -0.01      0.37     0.37     1 
0360321075   40.74307   -105.41811     0.20     -0.09     0.22     1 
0360321076   40.74321   -105.37831     0.27     -0.05     0.28     1 
0360321077   40.74333   -105.33852     0.79     -0.04     0.79     2 
0360321078   40.74344   -105.29872     0.31      0.30     0.43     1 
0360321079   40.74354   -105.25892     0.26      0.39     0.47     1 
0360321080   40.74362   -105.21913     0.27      0.01     0.27     1 
0360321084   40.74381   -105.05993     0.21     -0.02     0.21     1 
0360321085   40.74383   -105.02014     0.06     -0.19     0.20     1 
0360321086   40.74383   -104.98034     0.15     -0.09     0.18     1 
0360321099   40.74258   -104.46298    -0.10     -0.23     0.25     1 
0360321106   40.74094   -104.18442    -0.07     -0.16     0.17     1 
0360321107   40.74066   -104.14463    -0.17     -0.39     0.43     1 
0360321108   40.74036   -104.10483    -0.22     -0.34     0.41     1 
0360321112   40.73901   -103.94567    -0.17     -0.10     0.20     1 
0360321115   40.73786   -103.82631    -0.49      0.01     0.49     1 
0360321138   40.71387   -105.89529     0.35     -0.36     0.50     2 
0360321139   40.71417   -105.85551     0.11     -0.19     0.22     1 
0360321144   40.71547   -105.65662     0.23      0.04     0.23     1 
0360321148   40.71627   -105.49751     0.50      0.20     0.54     2 
0360321149   40.71643   -105.45773    -0.11      0.23     0.26     1 
0360321150   40.71658   -105.41795     0.08      0.08     0.11     1 
0360321151   40.71672   -105.37816     0.49     -0.27     0.56     2 
0360321152   40.71684   -105.33838     0.38      0.11     0.40     1 
0360321153   40.71695   -105.29860     0.20      0.45     0.49     1 
0360321154   40.71705   -105.25882     0.08      0.26     0.27     1 
0360321155   40.71713   -105.21904     0.07      0.05     0.09     1 
0360321156   40.71720   -105.17926     0.40     -0.25     0.48     1 
0360321159   40.71733   -105.05991     0.04      0.19     0.19     1 
0360321160   40.71734   -105.02013    -0.10     -0.16     0.19     1 
0360321184   40.71356   -104.06541    -0.30     -0.28     0.41     1 
0360321185   40.71323   -104.02564     0.01      0.17     0.17     1 
0360321186   40.71289   -103.98587    -0.05      0.03     0.06     1 
0360321187   40.71253   -103.94609    -0.10     -0.20     0.22     1 
0360321188   40.71216   -103.90632     0.11     -0.23     0.26     1 
0360321190   40.71138   -103.82678    -0.45     -0.24     0.51     2 
0360321213   40.68739   -105.89493    -0.22      0.20     0.30     1 
