==============================================================================
==============================================================================
 Apr. 5 2014                  LANDSAT 4                       Time: 22:03
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404017861_00005                          Path / Row - 33 / 32
Reference Image: L41XXX1184198170100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 47.1%
Rank   2 -- 43.3%
Rank   3 --  9.7%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.393
  Median: -0.338
  Standard Deviation: 0.308

Sample residual statistics:
  Mean: 0.032
  Median: 0.057
  Standard Deviation: 0.344

Quadrant RMSE: 0.607

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 93

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.125
  Median: 0.141
  Standard Deviation: 0.290

Sample residual statistics:
  Mean: -0.013
  Median: -0.100
  Standard Deviation: 0.387

Quadrant RMSE: 0.500

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 20

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.628
  Median: -0.760
  Standard Deviation: 0.402

Sample residual statistics:
  Mean: -0.268
  Median: -0.200
  Standard Deviation: 0.391

Quadrant RMSE: 0.884

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 238

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: 0.021
  Median: 0.028
  Standard Deviation: 0.523

Sample residual statistics:
  Mean: -0.049
  Median: -0.055
  Standard Deviation: 0.371

Scene RMSE: 0.643

