==============================================================================
==============================================================================
Fri. Feb. 12 2016                  LANDSAT 2                       Time: 13:09
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602120001_14199                          Path / Row - 36 / 32
Reference Image: L21XXX1175190170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 54.1%
Rank   2 -- 42.0%
Rank   3 --  3.9%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360322202   40.42077   -105.45713     0.67      0.41     0.79     2 
0360322203   40.42091   -105.41823     0.45      0.44     0.62     2 
0360322204   40.42105   -105.37933     0.57      0.35     0.67     2 
0360322205   40.42117   -105.34043     0.78      0.20     0.81     2 
0360322206   40.42128   -105.30153     0.73      0.47     0.86     2 
0360322207   40.42137   -105.26263     0.52      0.57     0.77     2 
0360322208   40.42145   -105.22374     0.51      0.56     0.76     2 
0360322211   40.42162   -105.10703     0.31      0.41     0.52     2 
0360322212   40.42165   -105.06813     0.79      0.20     0.81     2 
0360322213   40.42166   -105.02923     0.67      0.10     0.68     2 
0360322228   40.42034   -104.44574     0.81     -0.03     0.81     2 
0360322229   40.42015   -104.40685     0.80     -0.04     0.80     2 
0360322259   40.38940   -106.15678    -0.09     -0.19     0.21     1 
0360322260   40.38978   -106.11790     0.03     -0.21     0.21     1 
0360322261   40.39015   -106.07903     0.05     -0.32     0.33     1 
0360322268   40.39237   -105.80688    -0.80      0.57     0.98     2 
0360322269   40.39263   -105.76801     0.01      0.72     0.72     2 
0360322273   40.39356   -105.61248     0.62      0.16     0.64     2 
0360322274   40.39376   -105.57360     0.55      0.39     0.67     2 
0360322275   40.39395   -105.53472     0.37      0.45     0.58     2 
0360322276   40.39412   -105.49583     0.23      0.56     0.60     2 
0360322277   40.39428   -105.45695     0.43      0.58     0.72     2 
0360322278   40.39443   -105.41807     0.33      0.51     0.61     2 
0360322279   40.39456   -105.37918     0.41      0.35     0.54     2 
0360322280   40.39468   -105.34030     0.87      0.05     0.87     2 
0360322281   40.39479   -105.30142     0.84      0.23     0.87     2 
0360322282   40.39488   -105.26253     0.41      0.54     0.68     2 
0360322283   40.39496   -105.22365     0.67      0.23     0.71     2 
0360322286   40.39513   -105.10699     0.23      0.46     0.52     2 
0360322287   40.39516   -105.06811     0.29      0.11     0.31     1 
0360322348   40.36707   -105.61224     0.42      0.08     0.43     1 
0360322349   40.36727   -105.57337     0.44      0.25     0.50     2 
0360322350   40.36746   -105.53451     0.39      0.33     0.50     2 
